监测点编码	监测点名称	城市	经度（原）	纬度（原）	bdx	bdy
1001A	万寿西宫	北京	116.366	39.8673	116.378718	39.874726
1002A	定陵	北京	116.17	40.2865	116.182638	40.294075
1003A	东四	北京	116.434	39.9522	116.446779	39.959408
1004A	天坛	北京	116.434	39.8745	116.446794	39.881713
1005A	农展馆	北京	116.473	39.9716	116.485697	39.978722
1006A	官园	北京	116.361	39.9425	116.373718	39.94982
1007A	海淀区万柳	北京	116.315	39.9934	116.327705	40.000509
1008A	顺义新城	北京	116.72	40.1438	116.732603	40.150954
1009A	怀柔镇	北京	116.644	40.3937	116.656299	40.40115
1010A	昌平镇	北京	116.23	40.1952	116.242663	40.202213
1011A	奥体中心	北京	116.407	40.0031	116.419682	40.010785
1012A	古城	北京	116.225	39.9279	116.237641	39.934834
1013A	市监测中心	天津	117.151	39.097	117.163921	39.103969
1014A	南口路	天津	117.193	39.173	117.205896	39.179892
1015A	勤俭路	天津	117.145	39.1654	117.157933	39.172537
1016A	南京路	天津	117.184	39.1205	117.196939	39.127261
1017A	大直沽八号路	天津	117.237	39.1082	117.249649	39.11553
1018A	前进路	天津	117.202	39.0927	117.214795	39.099677
1019A	北辰科技园区	天津	117.1837	39.2133	117.196632	39.220107
1020A	天山路	天津	117.269	39.1337	117.281842	39.140615
1021A	跃进路	天津	117.307	39.0877	117.31994	39.094453
1023A	第四大街	天津	117.707	39.0343	117.719687	39.041553
1024A	永明路	天津	117.457	38.8394	117.469869	38.84657
1025A	航天路	天津	117.401	39.124	117.41417	39.130903
1026A	汉北路	天津	117.764	39.1587	117.776935	39.165419
1027A	团泊洼	天津	117.157	38.9194	117.169952	38.926168
1028A	化工学校	石家庄				
1029A	职工医院	石家庄	114.4548	38.0513	114.467464	38.05828
1030A	高新区	石家庄	114.6046	38.0398	114.616783	38.046581
1031A	西北水源	石家庄	114.5019	38.1398	114.514415	38.146474
1032A	西南高教	石家庄	114.4586111	38.00583333	114.47121	38.012857
1033A	世纪公园	石家庄	114.5330556	38.01777778	114.545559	38.024008
1034A	人民会堂	石家庄	114.5214	38.0524	114.533956	38.058736
1035A	封龙山	石家庄	114.3541	37.9097	114.366747	37.916873
1036A	供销社	唐山	118.1662	39.6308	118.179028	39.638191
